customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-AAA,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),60.9,170.39,Yes
1860-BDH,Female,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,72.79,734.51,No
6390-CGO,Female,1,No,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),55.68,1628.32,No
6191-DJV,Female,0,No,No,35,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.64,3420.56,No
6734-EMC,Male,1,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),22.2,121.18,No
7265-FPJ,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.64,746.52,Yes
1466-GSQ,Male,0,No,No,38,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),56.67,2147.43,No
5426-HVX,Female,1,Yes,No,19,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),83.33,1594.45,No
6578-IYE,Male,0,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.36,7751.37,Yes
9322-JBL,Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,69.54,517.24,Yes
2685-KES,Male,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,117.43,941.11,Yes
1769-LHZ,Female,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.63,2259.57,No
7949-MKG,Female,0,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,21.35,122.03,No
3433-NNN,Female,0,No,No,51,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,34.9,1772.88,Yes
6311-OQU,Male,1,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,57.96,3894.52,No
6051-PTB,Male,0,Yes,Yes,45,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,50.04,2251.27,No
7420-QWI,Male,0,Yes,Yes,8,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,28.0,211.95,No
2184-RZP,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),61.73,973.85,Yes
5555-SCW,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Mailed check,52.23,3523.2,No
4385-TFD,Male,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,30.57,289.47,Yes
7396-UIK,Female,1,No,Yes,60,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,48.01,2909.75,No
9666-VLR,Female,0,No,No,71,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),107.34,7621.97,No
3558-WOY,Female,0,Yes,No,15,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),48.61,733.47,No
8849-XRF,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),90.0,6385.99,No
3047-YUM,Male,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,79.76,3265.85,Yes
3747-ZXT,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.18,1330.33,No
1189-AAA,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),42.27,1015.74,Yes
3734-BDH,Female,0,Yes,No,44,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),55.34,2423.12,No
4005-CGO,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),77.76,84.39,Yes
5658-DJV,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,53.5,537.55,No
2899-EMC,Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,39.85,2873.52,Yes
8734-FPJ,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,29.95,1702.33,No
2267-GSQ,Female,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,106.67,5332.93,Yes
2528-HVX,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),62.5,761.35,No
4556-IYE,Female,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),81.08,4895.57,No
4890-JBL,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),67.54,1775.64,Yes
9838-KES,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,105.94,4360.84,Yes
6393-LHZ,Male,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.22,2631.32,Yes
9792-MKG,Female,1,Yes,No,23,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.57,1534.55,Yes
9433-NNN,Male,0,Yes,No,43,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,111.17,4760.54,No
8513-OQU,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,90.58,550.96,Yes
3612-PTB,Female,1,Yes,Yes,69,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.46,2036.86,No
8041-QWI,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.11,1553.08,Yes
7235-RZP,Male,0,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),97.36,2449.41,No
6486-SCW,Male,0,No,Yes,18,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,102.25,1822.38,Yes
8099-TFD,Male,0,Yes,No,62,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.04,4553.0,No
1775-UIK,Male,0,No,No,13,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,73.97,975.14,No
9226-VLR,Male,1,No,No,43,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,81.76,,No
4152-WOY,Female,0,Yes,No,28,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),62.38,1744.41,No
2585-XRF,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.61,1566.19,Yes
4943-YUM,Male,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,29.15,1742.66,No
8555-ZXT,Male,1,Yes,Yes,60,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,114.86,6893.12,No
4073-AAA,Female,0,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,93.64,5901.48,No
2021-BDH,Male,0,Yes,No,57,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),81.68,4656.03,No
4843-CGO,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),50.04,2578.77,No
8989-DJV,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,34.43,1922.55,Yes
7873-EMC,Female,1,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,59.39,1603.09,Yes
6675-FPJ,Female,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),84.74,2733.63,Yes
